 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  25. 9.    Time:  15: 7: 0
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -8786.535 0.3519   0.7929E-05  0.7106E-05 -0.7929E-05  0.0000E+00      -1  -0.689E-05   20.00
   2   -10.0000   -8786.535 0.3519   0.7929E-05  0.7106E-05 -0.7929E-05  0.0000E+00      -1  -0.689E-05   20.00
   3   -20.0000   -8786.535 0.3519   0.7929E-05  0.7106E-05 -0.7929E-05  0.0000E+00      -1  -0.689E-05   20.00
   4   -30.0000   -8786.535 0.3519   0.7929E-05  0.7106E-05 -0.7929E-05  0.0000E+00      -1  -0.689E-05   20.00
   5   -40.0000   -8786.535 0.3519   0.7929E-05  0.7106E-05 -0.7929E-05  0.0000E+00      -1  -0.689E-05   20.00
   6   -50.0000   -8786.535 0.3519   0.7929E-05  0.7106E-05  0.4290E-03  0.0000E+00      -1   0.373E-03   20.00
   7   -60.0000   -7829.304 0.3515   0.1035E-04  0.8034E-05  0.5868E-03  0.0000E+00      -1   0.510E-03   20.00
   8   -70.0000   -7540.114 0.3540   0.1169E-04  0.8463E-05  0.3197E-03  0.0000E+00      -1   0.278E-03   20.00
   9   -80.0000   -7263.965 0.3566   0.1323E-04  0.8929E-05  0.3430E-03  0.0000E+00      -1   0.298E-03   20.00
  10   -90.0000   -7000.364 0.3590   0.1471E-04  0.9374E-05  0.3636E-03  0.0000E+00      -1   0.316E-03   20.00
  11  -100.0000   -6748.417 0.3614   0.1611E-04  0.9799E-05  0.3801E-03  0.0000E+00      -1   0.330E-03   20.00
  12  -110.0000   -6507.698 0.3637   0.1746E-04  0.1021E-04  0.3930E-03  0.0000E+00      -1   0.342E-03   20.00
  13  -120.0000   -6277.414 0.3658   0.1874E-04  0.1059E-04  0.4059E-03  0.0000E+00      -1   0.353E-03   20.00
  14  -130.0000   -6057.194 0.3681   0.2055E-04  0.1105E-04  0.4266E-03  0.0000E+00      -1   0.371E-03   20.00
